@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric

@data
35,'2019/02/12 15:54:11:132',1,232,113,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
36,'2019/02/12 15:54:11:218',1,183,107,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
37,'2019/02/12 15:54:11:301',1,169,91,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
38,'2019/02/12 15:54:11:383',1,168,80,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
39,'2019/02/12 15:54:14:099',1,349,207,0.427795,0.362295,0.496194,0.735222,0.262748,0.034577,0.255844,0.961718,0.806123,0.439426,0.863601,0.75806,0.242708,0.964623,0.848423,0.227029,0.881797,0.1045,0.487354
40,'2019/02/12 15:54:14:599',1,395,246,0.427795,0.362295,0.496194,0.735222,0.262748,0.034577,0.255844,0.961718,0.806123,0.439426,0.863601,0.75806,0.242708,0.964623,0.848423,0.227029,0.881797,0.1045,0.487354
41,'2019/02/12 15:54:14:683',1,357,258,0.427795,0.362295,0.496194,0.735222,0.262748,0.034577,0.255844,0.961718,0.806123,0.439426,0.863601,0.75806,0.242708,0.964623,0.848423,0.227029,0.881797,0.1045,0.487354
42,'2019/02/12 15:54:14:767',1,296,281,0.427795,0.362295,0.496194,0.735222,0.262748,0.034577,0.255844,0.961718,0.806123,0.439426,0.863601,0.75806,0.242708,0.964623,0.848423,0.227029,0.881797,0.1045,0.487354
43,'2019/02/12 15:54:14:851',1,291,295,0.427795,0.362295,0.496194,0.735222,0.262748,0.034577,0.255844,0.961718,0.806123,0.439426,0.863601,0.75806,0.242708,0.964623,0.848423,0.227029,0.881797,0.1045,0.487354
44,'2019/02/12 15:54:14:932',1,324,315,0.427795,0.362295,0.496194,0.735222,0.262748,0.034577,0.255844,0.961718,0.806123,0.439426,0.863601,0.75806,0.242708,0.964623,0.848423,0.227029,0.881797,0.1045,0.487354
